id,catId,title,status,owner,dueDate,startDate,documentUrl,refUrl,notes
4.5,4,วางระบบการบันทึกกิจกรรมรายบุคคลของบุคลากรในฝ่าย IT ให้มีหัวข้อครบตามคู่มือ,not_started,IT + งาน HA,2569-05-25,2569-03-17,,https://www.banbunghospital.com/hait-2025/,
4.6,4,ดำเนินการบันทึกกิจกรรมรายบุคคล ให้เกิดการบันทึกทุกคน ทุกวัน ครบทุกชั่วโมง,not_started,IT + งาน HA,2569-05-25,2569-03-17,,https://www.banbunghospital.com/hait-2025/,
5.1,5,วางระบบการตรวจสอบเวชระเบียนผู้ป่วยนอก กำหนดคณะกรรมการตรวจสอบ,not_started,Auditor + เวชระเบียน,2569-05-25,2569-02-17,,https://www.banbunghospital.com/hait-2025/,
5.2,5,ดำเนินการตรวจสอบคุณภาพเวชระเบียนผู้ป่วยนอก ให้มีคะแนนคุณภาพของแพทย์แต่ละคน,not_started,Auditor + เวชระเบียน,2569-05-25,2569-02-17,,https://www.banbunghospital.com/hait-2025/,
5.3,5,นำผลการตรวจสอบคุณภาพเวชระเบียนผู้ป่วยนอก มากำหนดแผนพัฒนาเฉพาะเจาะจง,not_started,Auditor + เวชระเบียน,2569-05-25,2569-02-17,,https://www.banbunghospital.com/hait-2025/,
5.4,5,ทดสอบพิมพ์เวชระเบียนผู้ป่วยนอกออกมาในกระดาษ แล้วตรวจสอบความผิดเพี้ยน,not_started,Auditor + เวชระเบียน,2569-05-25,2569-02-17,,https://www.banbunghospital.com/hait-2025/,
5.5,5,วางระบบการตรวจสอบเวชระเบียนผู้ป่วยใน กำหนดคณะกรรมการตรวจสอบ,not_started,Auditor + เวชระเบียน,2569-05-25,2569-02-17,,https://www.banbunghospital.com/hait-2025/,
5.6,5,นำผลการตรวจสอบคุณภาพเวชระเบียนผู้ป่วยใน มากำหนดแผนพัฒนาเฉพาะเจาะจง,not_started,Auditor + เวชระเบียน,2569-05-25,2569-02-17,,https://www.banbunghospital.com/hait-2025/,
5.7,5,ทดสอบพิมพ์เวชระเบียนผู้ป่วยในออกมาในกระดาษ แล้วตรวจสอบความผิดเพี้ยน,not_started,Auditor + เวชระเบียน,2569-05-25,2569-02-17,,https://www.banbunghospital.com/hait-2025/,
6.1,6,จัดทำเอกสารวิเคราะห์ระบบ ครอบคลุม การระบุปัญหา ความต้องการผู้ใช้ ผังงานระบบเดิม,not_started,IT ทั้งหมด,2569-06-08,2569-04-28,,https://www.banbunghospital.com/hait-2025/,
6.2,6,จัดทำเอกสารออกแบบระบบ ครอบคลุม Context Diagram DFD ER Diagram Data Dictionary,not_started,IT ทั้งหมด,2569-06-08,2569-04-28,,https://www.banbunghospital.com/hait-2025/,
6.3,6,มีคู่มือสำหรับผู้ใช้โปรแกรม ที่มีรายละเอียดครบถ้วน,not_started,IT ทั้งหมด,2569-06-08,2569-04-28,,https://www.banbunghospital.com/hait-2025/,
7.1,7,มีทะเบียน Hardware และตารางสรุปทรัพยากร แสดง Capacity ในภาพรวม,not_started,IT ทั้งหมด,2569-07-06,2569-05-12,,https://www.banbunghospital.com/hait-2025/,
7.2,7,มีทะเบียน Software และตารางสรุปทรัพยากร แสดง Capacity ในภาพรวม,not_started,IT ทั้งหมด,2569-07-06,2569-05-12,,https://www.banbunghospital.com/hait-2025/,
7.3,7,มีทะเบียนอุปกรณ์ Network และตารางสรุปทรัพยากร แสดง Network Diagram,not_started,IT ทั้งหมด,2569-07-06,2569-05-12,,https://www.banbunghospital.com/hait-2025/,
7.4,7,มีการวิเคราะห์ Gap Analysis โดยแสดงความต้องการขั้นต่ำเทียบกับสิ่งที่มี,not_started,IT ทั้งหมด,2569-07-06,2569-05-12,,https://www.banbunghospital.com/hait-2025/,
7.5,7,มีการวิเคราะห์ Utilization ของ Server ทุกตัว Network Bandwidth และ Traffic,not_started,IT ทั้งหมด,2569-07-06,2569-05-12,,https://www.banbunghospital.com/hait-2025/,
7.6,7,มีการกำหนด Competency Mapping Competency Template และ Competency Dictionary,not_started,IT ทั้งหมด,2569-07-06,2569-05-12,,https://www.banbunghospital.com/hait-2025/,
7.7,7,มีการจัดทำแบบประเมิน และประเมินสมรรถนะรายบุคคลของเจ้าหน้าที่ฝ่าย IT,not_started,IT ทั้งหมด,2569-07-06,2569-05-12,,https://www.banbunghospital.com/hait-2025/,
7.8,7,มีการจัดทำแผนพัฒนาสมรรถนะรายบุคคลที่สอดคล้องกับผลการประเมิน,not_started,IT ทั้งหมด,2569-07-06,2569-05-12,,https://www.banbunghospital.com/hait-2025/,
